,,1,2,3,4,5,6,7,8,9,10,11,12,,,L1,,,,,,,,,,,,
,27.5,0.2275,0.1257,0.1243,0.1379,0.132,0.1447,0.1495,0.1602,0.1498,0.1073,0.1123,0.1131,,,0,0.2275,0.1257,0.1243,0.1379,0.132,0.1447,0.1495,0.1602,0.1498,0.1073,0.1123,0.1131
,,0.1239,0.121,0.1218,0.1257,0.1412,0.1372,0.1478,0.1367,0.1434,0.1103,0.1138,0.11,,,2,0.2617,0.2712,0.2714,0.1794,0.178,0.1882,0.3369,0.3329,0.3256,0.2579,0.2444,0.241
,,0.1252,0.1223,0.1241,0.1333,0.1326,0.1293,0.1448,0.1428,0.1488,0.1142,0.1132,0.116,,,4,0.3596,0.3803,0.3833,0.3436,0.3455,0.3923,0.5883,0.5864,0.5892,0.4632,0.4591,0.4428
,,0.1262,0.1238,0.1261,0.1252,0.1249,0.1494,0.1438,0.1466,0.1504,0.1175,0.1206,0.1183,,,6,0.4864,0.5145,0.5235,0.4978,0.5121,0.4822,0.7632,0.7636,0.7611,0.6108,0.6034,0.5903
,,0.1214,0.1246,0.1224,0.1306,0.1288,0.1425,0.1424,0.1456,0.1476,0.1155,0.1143,0.112,,,8,0.6412,0.6471,0.6655,0.553,0.5478,0.5278,0.9395,0.9414,0.9339,0.8289,0.8331,0.8122
,,0.1288,0.1417,0.1292,0.1348,0.134,0.1336,0.1426,0.1495,0.1498,0.1179,0.1224,0.116,,,10,0.7275,0.7288,0.7533,0.5953,0.5723,0.5513,1.0835,1.091,1.0859,0.967,0.9596,0.9485
,,0.0833,0.0842,0.0846,0.0822,0.0831,0.082,0.0831,0.0831,0.0835,0.0831,0.0853,0.0845,,,12,0.7582,0.7671,0.7827,0.7497,0.673,0.6356,1.1642,1.1524,1.1549,1.0167,1.0313,1.0198
,,0.0836,0.0837,0.0829,0.0861,0.0851,0.0847,0.0829,0.0847,0.084,0.09,0.0866,0.0819,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,L2,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,0,0.1239,0.121,0.1218,0.1257,0.1412,0.1372,0.1478,0.1367,0.1434,0.1103,0.1138,0.11
Plate:,OD600 2 hr,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,,,2,0.2733,0.2884,0.29,0.1754,0.1851,0.182,0.3209,0.3205,0.3294,0.2744,0.2735,0.2656
,,1,2,3,4,5,6,7,8,9,10,11,12,,,4,0.3994,0.4217,0.4186,0.3622,0.3915,0.3738,0.5763,0.5821,0.5854,0.4918,0.4831,0.4687
,28,0.2617,0.2712,0.2714,0.1794,0.178,0.1882,0.3369,0.3329,0.3256,0.2579,0.2444,0.241,,,6,0.5175,0.5558,0.5552,0.5337,0.5239,0.5458,0.7921,0.7911,0.7902,0.6438,0.6424,0.6183
,,0.2733,0.2884,0.29,0.1754,0.1851,0.182,0.3209,0.3205,0.3294,0.2744,0.2735,0.2656,,,8,0.7232,0.7451,0.7517,0.5728,0.5348,0.5631,0.995,0.9786,1.0001,0.8181,0.82,0.81
,,0.2772,0.2912,0.2888,0.1903,0.1932,0.1966,0.3257,0.3272,0.3313,0.2901,0.2888,0.2758,,,10,0.8124,0.8345,0.8356,0.6319,0.589,0.6105,1.1343,1.1051,1.1447,1.0012,1.009,0.9791
,,0.2803,0.2942,0.2947,0.1686,0.1717,0.1855,0.3181,0.3178,0.3341,0.2909,0.2964,0.2859,,,12,0.8098,0.8394,0.8587,0.6768,0.6646,0.6816,1.1937,1.1412,1.1842,1.0916,1.1075,1.0526
,,0.2754,0.2936,0.3035,0.1727,0.1757,0.1753,0.3233,0.3301,0.3363,0.2884,0.2917,0.2918,,,,,,,,,,,,,,,
,,0.2845,0.2942,0.302,0.1863,0.188,0.1904,0.3262,0.3306,0.3347,0.3019,0.3085,0.3052,,,L3,,,,,,,,,,,,
,,0.0836,0.0857,0.0854,0.0847,0.0838,0.0837,0.0848,0.0841,0.0842,0.0862,0.0881,0.085,,,0,0.1252,0.1223,0.1241,0.1333,0.1326,0.1293,0.1448,0.1428,0.1488,0.1142,0.1132,0.116
,,0.0843,0.0854,0.084,0.0856,0.0889,0.0865,0.0862,0.0869,0.0863,0.0896,0.0906,0.1659,,,2,0.2772,0.2912,0.2888,0.1903,0.1932,0.1966,0.3257,0.3272,0.3313,0.2901,0.2888,0.2758
,,,,,,,,,,,,,,,,4,0.41,0.4258,0.4276,0.4109,0.4259,0.4214,0.6048,0.6122,0.6038,0.5251,0.5266,0.4966
~End,,,,,,,,,,,,,,,,6,0.5371,0.5562,0.5577,0.5415,0.5094,0.5076,0.8197,0.8295,0.8188,0.7321,0.7321,0.707
Plate:,OD600 4 hr,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,,,8,0.742,0.7525,0.759,0.6058,0.6025,0.5807,1.0037,1.0088,1.0141,0.9398,0.9231,0.9356
,,1,2,3,4,5,6,7,8,9,10,11,12,,,10,0.8162,0.8353,0.8418,0.675,0.6425,0.6482,1.1265,1.128,1.1364,1.0767,1.06,1.0665
,28,0.3596,0.3803,0.3833,0.3436,0.3455,0.3923,0.5883,0.5864,0.5892,0.4632,0.4591,0.4428,,,12,0.8268,0.846,0.8725,0.7549,0.7233,0.7354,1.176,1.1519,1.1598,1.1134,1.0879,1.0971
